S̩ance,VOLUME MC,VOLUME MB,VOLUME INTRODUCTIONS,VOLUME_OFFRES PUBLIQUES,VOLUME TRANSFERTS,VOLUME APPORTS,VOLUME AUG CAPITAL,TOTAL
02/01/2002,20313165.9,0.0,0.0,0.0,0.0,0.0,0.0,20313165.9
03/01/2002,15937331.0,0.0,0.0,0.0,0.0,0.0,0.0,15937331.0
04/01/2002,6521744.92,0.0,0.0,0.0,0.0,0.0,0.0,6521744.92
07/01/2002,148948611.22,0.0,0.0,0.0,9940.0,0.0,0.0,148958551.22
08/01/2002,13682710.7,0.0,0.0,0.0,0.0,0.0,0.0,13682710.7
09/01/2002,17444936.0,590000.0,0.0,0.0,0.0,0.0,0.0,18034936.0
10/01/2002,23810911.75,0.0,0.0,0.0,0.0,0.0,0.0,23810911.75
14/01/2002,27331156.17,364172.0,0.0,0.0,0.0,0.0,0.0,27695328.17
15/01/2002,340660940.67,5970000.0,0.0,0.0,0.0,0.0,0.0,346630940.67
16/01/2002,10455027.5,665000.0,0.0,0.0,0.0,0.0,0.0,11120027.5
17/01/2002,6859321.51,1068000.0,0.0,0.0,0.0,0.0,0.0,7927321.51
18/01/2002,12369570.22,2792000.0,0.0,0.0,0.0,0.0,0.0,15161570.22
21/01/2002,24603305.6,8823256.75,0.0,0.0,0.0,0.0,0.0,33426562.35
22/01/2002,26753418.3,5633500.0,0.0,0.0,0.0,0.0,0.0,32386918.3
23/01/2002,41573204.87,8152000.0,0.0,0.0,0.0,0.0,0.0,49725204.87
24/01/2002,20050215.45,275680200.0,0.0,0.0,0.0,0.0,0.0,295730415.45
25/01/2002,28981517.4,1160845.0,0.0,0.0,0.0,0.0,0.0,30142362.4
28/01/2002,16977353.52,4295000.0,0.0,0.0,0.0,0.0,0.0,21272353.52
29/01/2002,25025903.5,0.0,0.0,0.0,58400.0,0.0,0.0,25084303.5
30/01/2002,19172318.8,0.0,0.0,0.0,0.0,0.0,0.0,19172318.8
31/01/2002,10336196.52,0.0,0.0,0.0,0.0,0.0,0.0,10336196.52
01/02/2002,15175338.1,0.0,0.0,0.0,0.0,0.0,0.0,15175338.1
04/02/2002,6190839.0,0.0,0.0,0.0,0.0,0.0,0.0,6190839.0
05/02/2002,6833813.95,0.0,0.0,0.0,148119.0,0.0,0.0,6981932.95
06/02/2002,10823161.8,17054710.0,0.0,0.0,0.0,0.0,0.0,27877871.8
07/02/2002,30467249.0,3885000.0,0.0,0.0,27500.0,0.0,0.0,34379749.0
08/02/2002,24121429.65,1747200.0,0.0,0.0,0.0,0.0,0.0,25868629.65
11/02/2002,96104937.59,0.0,0.0,0.0,32555.0,0.0,0.0,96137492.59
12/02/2002,26991383.34,299900.0,0.0,0.0,96778.0,0.0,0.0,27388061.34
13/02/2002,11514471.7,948000.0,0.0,0.0,105500.0,0.0,0.0,12567971.7
14/02/2002,11037485.28,4473700.0,0.0,0.0,0.0,0.0,0.0,15511185.28
15/02/2002,24565597.15,11818150.0,0.0,0.0,63900.0,0.0,0.0,36447647.15
18/02/2002,18934807.1,2826792.0,0.0,0.0,19575.0,0.0,0.0,21781174.1
19/02/2002,21810332.3,3655570.0,0.0,0.0,131586.0,0.0,0.0,25597488.3
20/02/2002,7616936.0,0.0,0.0,0.0,0.0,0.0,0.0,7616936.0
21/02/2002,7805815.22,644140.0,0.0,0.0,144981.0,0.0,0.0,8594936.22
22/02/2002,4067649.8,300000.0,0.0,0.0,12997.4,0.0,0.0,4380647.2
26/02/2002,6087046.9,2255960.0,0.0,0.0,0.0,0.0,0.0,8343006.9
27/02/2002,13368937.45,903000.0,0.0,0.0,0.0,0.0,0.0,14271937.45
28/02/2002,5296400.6,2650038.6,0.0,0.0,0.0,0.0,0.0,7946439.2
01/03/2002,11789314.65,0.0,0.0,0.0,0.0,0.0,0.0,11789314.65
04/03/2002,13067821.0,950000.0,0.0,0.0,0.0,0.0,0.0,14017821.0
05/03/2002,13241465.0,1737000.0,0.0,0.0,0.0,0.0,0.0,14978465.0
06/03/2002,7052724.4,4595138.0,0.0,0.0,10000.0,0.0,0.0,11657862.4
